cm-1,Intensity
853.225,5074.6
855.918,5041.05
858.61,4985.45
861.302,5107.6
863.992,5112.75
866.681,5162.85
869.37,5169.65
872.058,5144.6
874.745,5126.2
877.431,5123.4
880.116,5190.65
882.8,5227.0
885.484,5194.15
888.166,5191.15
890.848,5196.65
893.529,5171.15
896.209,5150.25
898.888,5132.8
901.566,5148.45
904.244,5245.25
906.921,5240.25
909.596,5277.75
912.271,5261.7
914.945,5255.9
917.619,5257.9
920.291,5232.0
922.963,5265.95
925.633,5285.05
928.303,5324.95
930.972,5329.5
933.64,5357.55
936.308,5356.95
938.974,5312.35
941.64,5293.5
944.304,5243.9
946.968,5248.1
949.631,5303.45
952.294,5275.55
954.955,5284.95
957.615,5263.05
960.275,5267.25
962.934,5379.4
965.592,5428.15
968.249,5420.45
970.905,5431.85
973.561,5332.95
976.215,5370.35
978.869,5435.1
981.522,5493.2
984.174,5477.7
986.826,5463.4
989.476,5346.75
992.126,5411.8
994.774,5473.5
997.422,5491.85
1000.07,5499.0
1002.72,5461.25
1005.36,5419.95
1008.01,5445.85
1010.65,5422.9
1013.29,5386.4
1015.93,5427.35
1018.58,5513.15
1021.22,5562.15
1023.86,5572.75
1026.49,5523.55
1029.13,5474.7
1031.77,5454.65
1034.4,5356.55
1037.04,5464.4
1039.67,5571.7
1042.31,5562.3
1044.94,5529.15
1047.57,5526.15
1050.2,5598.4
1052.83,5629.4
1055.46,5556.4
1058.09,5583.9
1060.72,5582.75
1063.35,5588.75
1065.97,5674.25
1068.6,5685.15
1071.22,5648.2
1073.85,5619.95
1076.47,5735.1
1079.09,5762.2
1081.71,5641.05
1084.33,5552.55
1086.95,5526.25
1089.57,5695.0
1092.19,5821.2
1094.81,5756.15
1097.42,5712.25
1100.04,5684.85
1102.65,5666.8
1105.27,5684.05
1107.88,5675.75
1110.49,5709.7
1113.1,5767.35
1115.71,5741.7
1118.32,5697.1
1120.93,5684.6
1123.54,5696.3
1126.15,5724.9
1128.75,5779.6
1131.36,5861.1
1133.97,5837.4
1136.57,5773.15
1139.17,5828.0
1141.77,5752.65
1144.38,5700.35
1146.98,5709.6
1149.58,5727.45
1152.18,5740.2
1154.77,5759.8
1157.37,5788.15
1159.97,5815.3
1162.56,5771.5
1165.16,5807.7
1167.75,5851.45
1170.35,5850.65
1172.94,5903.1
1175.53,5809.7
1178.12,5761.1
1180.71,5870.8
1183.3,5874.15
1185.89,5878.0
1188.48,5944.25
1191.06,6000.95
1193.65,5934.25
1196.23,5916.45
1198.82,5902.4
1201.4,5941.75
1203.99,5922.15
1206.57,5903.85
1209.15,5941.4
1211.73,5912.75
1214.31,5891.5
1216.89,5907.1
1219.46,6050.55
1222.04,6111.7
1224.62,5885.3
1227.19,5836.45
1229.77,5979.5
1232.34,6053.3
1234.92,6020.1
1237.49,6028.95
1240.06,6085.55
1242.63,6051.35
1245.2,6025.45
1247.77,6074.25
1250.34,5960.9
1252.9,5971.35
1255.47,6139.1
1258.04,6172.7
1260.6,6184.25
1263.17,6101.5
1265.73,6080.95
1268.29,6097.75
1270.85,6060.1
1273.41,6054.5
1275.97,6049.75
1278.53,6113.4
1281.09,6210.8
1283.65,6229.2
1286.21,6119.75
1288.76,5992.25
1291.32,6049.0
1293.87,6185.15
1296.43,6286.3
1298.98,6242.85
1301.53,6295.65
1304.08,6299.25
1306.63,6331.25
1309.18,6333.05
1311.73,6304.65
1314.28,6203.95
1316.83,6159.8
1319.38,6279.75
1321.92,6395.7
1324.47,6338.05
1327.01,6246.25
1329.55,6284.85
1332.1,6324.4
1334.64,6343.95
1337.18,6385.75
1339.72,6393.85
1342.26,6331.4
1344.8,6245.6
1347.34,6325.2
1349.87,6362.35
1352.41,6307.5
1354.95,6338.5
1357.48,6362.95
1360.01,6357.5
1362.55,6243.75
1365.08,6128.95
1367.61,6287.8
1370.14,6261.75
1372.67,6278.7
1375.2,6354.7
1377.73,6351.0
1380.26,6254.0
1382.78,6270.5
1385.31,6288.5
1387.84,6222.5
1390.36,6244.5
1392.88,6268.0
1395.41,6295.55
1397.93,6365.25
1400.45,6393.6
1402.97,6400.45
1405.49,6325.3
1408.01,6224.5
1410.53,6245.3
1413.05,6348.65
1415.56,6325.25
1418.08,6371.9
1420.59,6470.0
1423.11,6333.15
1425.62,6355.75
1428.14,6307.9
1430.65,6348.25
1433.16,6510.45
1435.67,6589.75
1438.18,6441.25
1440.69,6442.8
1443.2,6380.55
1445.7,6387.5
1448.21,6411.95
1450.72,6406.15
1453.22,6508.4
1455.72,6407.85
1458.23,6346.4
1460.73,6377.55
1463.23,6462.4
1465.73,6459.5
1468.23,6384.15
1470.73,6388.35
1473.23,6352.95
1475.73,6427.75
1478.23,6447.3
1480.72,6403.25
1483.22,6471.05
1485.72,6454.2
1488.21,6421.6
1490.7,6296.55
1493.2,6295.2
1495.69,6392.0
1498.18,6454.9
1500.67,6329.1
1503.16,6333.6
1505.65,6351.05
1508.14,6400.95
1510.62,6602.9
1513.11,6642.1
1515.59,6549.7
1518.08,6410.6
1520.56,6442.25
1523.05,6551.5
1525.53,6617.8
1528.01,6494.8
1530.49,6471.9
1532.97,6528.45
1535.45,6456.25
1537.93,6512.75
1540.41,6547.15
1542.89,6583.25
1545.36,6630.65
1547.84,6671.75
1550.31,6690.2
1552.79,6715.6
1555.26,6758.0
1557.73,6751.5
1560.21,6621.7
1562.68,6605.4
1565.15,6694.7
1567.62,6775.5
1570.09,6784.8
1572.56,6698.9
1575.02,6707.7
1577.49,6749.6
1579.95,6699.7
1582.42,6698.35
1584.88,6742.7
1587.35,6629.35
1589.81,6591.1
1592.27,6621.2
1594.73,6742.3
1597.19,6764.45
1599.65,6759.95
1602.11,6743.5
1604.57,6663.25
1607.03,6646.85
1609.49,6665.6
1611.94,6584.6
1614.4,6451.7
1616.85,6495.35
1619.31,6532.75
1621.76,6568.6
1624.21,6643.2
1626.66,6592.75
1629.11,6521.0
1631.56,6551.75
1634.01,6458.0
1636.46,6530.15
1638.91,6555.0
1641.36,6499.1
1643.8,6579.5
1646.25,6561.65
1648.69,6534.0
1651.14,6501.25
1653.58,6582.35
1656.02,6463.9
1658.46,6309.9
1660.9,6334.55
1663.35,6426.95
1665.78,6463.2
1668.22,6577.65
1670.66,6489.0
1673.1,6482.15
1675.54,6515.25
1677.97,6452.75
1680.41,6413.35
1682.84,6439.2
1685.27,6440.45
1687.71,6438.75
1690.14,6417.35
1692.57,6487.25
1695.0,6485.55
1697.43,6461.3
1699.86,6416.7
1702.29,6504.8
1704.71,6492.5
1707.14,6512.1
1709.57,6392.55
1711.99,6421.15
1714.42,6498.1
1716.84,6497.1
1719.26,6383.25
1721.69,6317.15
1724.11,6353.35
1726.53,6487.35
1728.95,6486.2
1731.37,6441.25
1733.79,6417.0
1736.21,6411.9
1738.62,6348.55
1741.04,6268.15
1743.46,6357.2
1745.87,6513.9
1748.28,6507.45
1750.7,6514.5
1753.11,6447.9
1755.52,6390.15
1757.93,6432.5
1760.34,6502.25
1762.75,6549.0
1765.16,6503.95
1767.57,6497.85
1769.98,6528.1
1772.39,6583.3
1774.79,6530.85
1777.2,6420.6
1779.6,6568.2
1782.01,6642.3
1784.41,6617.05
1786.81,6538.4
1789.21,6608.1
1791.62,6534.6
1794.02,6478.45
1796.41,6495.65
1798.81,6505.05
1801.21,6581.4
1803.61,6584.1
1806.01,6491.4
1808.4,6369.35
1810.8,6450.6
1813.19,6552.35
1815.59,6506.65
1817.98,6575.75
1820.37,6620.2
1822.76,6576.85
1825.15,6400.75
1827.54,6403.15
1829.93,6410.9
1832.32,6493.5
1834.71,6481.6
1837.1,6440.5
1839.48,6483.3
1841.87,6553.5
1844.25,6544.95
1846.64,6488.65
1849.02,6514.1
1851.4,6564.1
1853.79,6440.1
1856.17,6421.05
1858.55,6491.2
1860.93,6541.4
1863.31,6605.65
1865.69,6602.35
1868.06,6523.9
1870.44,6584.1
1872.82,6653.2
1875.19,6569.95
1877.57,6435.7
1879.94,6604.1
1882.31,6594.3
1884.69,6491.75
1887.06,6618.35
1889.43,6600.8
1891.8,6549.9
1894.17,6508.25
1896.54,6496.2
1898.91,6674.8
1901.28,6762.0
1903.64,6675.65
1906.01,6587.15
1908.38,6604.15
1910.74,6598.7
1913.1,6645.05
1915.47,6659.45
1917.83,6670.6
1920.19,6617.7
1922.55,6555.15
1924.91,6598.9
1927.27,6691.2
1929.63,6621.05
1931.99,6589.65
1934.35,6591.15
1936.71,6627.3
1939.06,6654.35
1941.42,6571.15
1943.77,6443.55
1946.13,6565.0
1948.48,6574.8
1950.83,6626.5
1953.19,6658.05
1955.54,6626.55
1957.89,6601.1
1960.24,6598.95
1962.59,6588.3
1964.93,6583.5
1967.28,6466.9
1969.63,6544.45
1971.98,6631.4
1974.32,6717.8
1976.67,6596.75
1979.01,6523.75
