cm-1,Intensity
853.225,4834.1
855.918,4860.05
858.61,4905.2
861.302,4928.35
863.992,4878.25
866.681,4833.45
869.37,4898.1
872.058,4857.05
874.745,4822.2
877.431,4839.65
880.116,4816.45
882.8,4792.65
885.484,4856.15
888.166,4879.1
890.848,4845.6
893.529,4853.2
896.209,4868.9
898.888,4869.3
901.566,4866.35
904.244,4854.55
906.921,4833.2
909.596,4837.6
912.271,4890.7
914.945,4916.4
917.619,4841.6
920.291,4836.55
922.963,4856.15
925.633,4905.15
928.303,4913.25
930.972,4913.0
933.64,4880.1
936.308,4864.75
938.974,4913.65
941.64,4926.7
944.304,4880.4
946.968,4927.05
949.631,4925.9
952.294,4950.3
954.955,4967.6
957.615,5000.65
960.275,4997.45
962.934,4972.8
965.592,4970.15
968.249,4982.75
970.905,4988.25
973.561,4957.7
976.215,5026.55
978.869,5113.15
981.522,5053.2
984.174,5016.8
986.826,5078.05
989.476,5139.6
992.126,5239.95
994.774,5338.15
997.422,5456.4
1000.07,5593.9
1002.72,5629.75
1005.36,5532.2
1008.01,5328.95
1010.65,5198.65
1013.29,5121.9
1015.93,5122.45
1018.58,5147.3
1021.22,5132.65
1023.86,5187.85
1026.49,5208.25
1029.13,5280.65
1031.77,5260.2
1034.4,5243.4
1037.04,5227.8
1039.67,5178.3
1042.31,5178.55
1044.94,5216.85
1047.57,5249.25
1050.2,5170.0
1052.83,5102.8
1055.46,5107.35
1058.09,5132.5
1060.72,5181.5
1063.35,5190.3
1065.97,5218.5
1068.6,5242.8
1071.22,5223.0
1073.85,5249.4
1076.47,5216.9
1079.09,5224.2
1081.71,5250.1
1084.33,5284.4
1086.95,5352.6
1089.57,5365.05
1092.19,5366.3
1094.81,5395.0
1097.42,5312.0
1100.04,5346.9
1102.65,5390.4
1105.27,5387.3
1107.88,5378.45
1110.49,5390.65
1113.1,5401.4
1115.71,5371.35
1118.32,5387.05
1120.93,5453.6
1123.54,5448.0
1126.15,5357.55
1128.75,5275.9
1131.36,5258.8
1133.97,5343.6
1136.57,5387.2
1139.17,5434.35
1141.77,5415.7
1144.38,5419.7
1146.98,5424.05
1149.58,5464.05
1152.18,5448.7
1154.77,5434.0
1157.37,5461.55
1159.97,5474.2
1162.56,5430.75
1165.16,5452.4
1167.75,5480.1
1170.35,5395.85
1172.94,5428.85
1175.53,5528.05
1178.12,5599.6
1180.71,5572.5
1183.3,5564.9
1185.89,5534.9
1188.48,5551.1
1191.06,5546.65
1193.65,5554.75
1196.23,5634.55
1198.82,5602.65
1201.4,5570.5
1203.99,5592.4
1206.57,5598.55
1209.15,5633.35
1211.73,5614.1
1214.31,5590.9
1216.89,5592.45
1219.46,5610.0
1222.04,5622.6
1224.62,5615.8
1227.19,5586.45
1229.77,5555.5
1232.34,5539.4
1234.92,5575.7
1237.49,5631.75
1240.06,5659.1
1242.63,5612.95
1245.2,5616.2
1247.77,5653.2
1250.34,5623.4
1252.9,5674.65
1255.47,5686.45
1258.04,5722.85
1260.6,5652.6
1263.17,5709.1
1265.73,5724.95
1268.29,5743.35
1270.85,5780.8
1273.41,5797.2
1275.97,5786.8
1278.53,5825.25
1281.09,5892.35
1283.65,5906.9
1286.21,5913.75
1288.76,5908.35
1291.32,5933.3
1293.87,5947.0
1296.43,5975.6
1298.98,5875.45
1301.53,5893.9
1304.08,5944.25
1306.63,5892.0
1309.18,5902.1
1311.73,5854.9
1314.28,5908.9
1316.83,5879.6
1319.38,5864.9
1321.92,5834.05
1324.47,5787.8
1327.01,5834.3
1329.55,5886.3
1332.1,5896.75
1334.64,5896.55
1337.18,5868.05
1339.72,5870.25
1342.26,5847.65
1344.8,5855.65
1347.34,5856.65
1349.87,5846.5
1352.41,5814.4
1354.95,5801.85
1357.48,5852.65
1360.01,5874.35
1362.55,5875.5
1365.08,5849.75
1367.61,5861.95
1370.14,5873.55
1372.67,5873.15
1375.2,5909.1
1377.73,5809.25
1380.26,5794.6
1382.78,5832.5
1385.31,5827.15
1387.84,5814.3
1390.36,5869.9
1392.88,5851.9
1395.41,5889.8
1397.93,5944.75
1400.45,5921.45
1402.97,5914.6
1405.49,5975.8
1408.01,6021.0
1410.53,5989.2
1413.05,5962.85
1415.56,5893.85
1418.08,5904.6
1420.59,5929.65
1423.11,6060.25
1425.62,6075.05
1428.14,6017.1
1430.65,5972.85
1433.16,5971.9
1435.67,6015.0
1438.18,6010.9
1440.69,6072.7
1443.2,6144.15
1445.7,6066.1
1448.21,6066.3
1450.72,6086.3
1453.22,6081.0
1455.72,6069.0
1458.23,6057.0
1460.73,6037.4
1463.23,5996.2
1465.73,5994.65
1468.23,6073.7
1470.73,6175.25
1473.23,6101.8
1475.73,6036.3
1478.23,5989.2
1480.72,6013.75
1483.22,6086.9
1485.72,6088.4
1488.21,6071.8
1490.7,6012.9
1493.2,6013.45
1495.69,6012.25
1498.18,6006.55
1500.67,6051.85
1503.16,6072.4
1505.65,6068.5
1508.14,6085.25
1510.62,6130.05
1513.11,6050.95
1515.59,6039.15
1518.08,6023.85
1520.56,6107.7
1523.05,6110.65
1525.53,6079.95
1528.01,6016.65
1530.49,6041.3
1532.97,6164.55
1535.45,6178.6
1537.93,6118.5
1540.41,6159.0
1542.89,6124.1
1545.36,6106.75
1547.84,6145.45
1550.31,6140.55
1552.79,6198.85
1555.26,6192.05
1557.73,6114.85
1560.21,6134.95
1562.68,6254.0
1565.15,6300.1
1567.62,6220.65
1570.09,6169.4
1572.56,6254.0
1575.02,6291.6
1577.49,6266.5
1579.95,6263.2
1582.42,6262.45
1584.88,6301.45
1587.35,6230.35
1589.81,6265.55
1592.27,6345.55
1594.73,6353.55
1597.19,6446.75
1599.65,6537.05
1602.11,6575.35
1604.57,6666.9
1607.03,6753.95
1609.49,6797.1
1611.94,6894.4
1614.4,6961.8
1616.85,6822.15
1619.31,6682.05
1621.76,6517.3
1624.21,6409.0
1626.66,6358.85
1629.11,6410.8
1631.56,6327.05
1634.01,6216.95
1636.46,6194.9
1638.91,6167.0
1641.36,6193.85
1643.8,6262.2
