cm-1,Intensity
853.225,8042.1
855.918,8202.8
858.61,8227.5
861.302,8194.5
863.992,8199.35
866.681,7973.25
869.37,7756.7
872.058,7801.45
874.745,7809.85
877.431,7811.25
880.116,7842.85
882.8,7884.0
885.484,7848.95
888.166,7799.8
890.848,7833.75
893.529,7852.65
896.209,7908.15
898.888,7951.6
901.566,7892.95
904.244,7817.7
906.921,7962.7
909.596,8022.3
912.271,7885.25
914.945,7861.0
917.619,7968.25
920.291,7991.25
922.963,8040.25
925.633,7951.95
928.303,7978.85
930.972,7960.4
933.64,8047.8
936.308,8187.65
938.974,8039.1
941.64,8007.65
944.304,7971.85
946.968,8018.35
949.631,7947.45
952.294,8168.65
954.955,8151.4
957.615,8152.6
960.275,8243.65
962.934,8236.9
965.592,8126.5
968.249,8214.55
970.905,8270.7
973.561,8257.4
976.215,8292.25
978.869,8386.8
981.522,8347.7
984.174,8176.35
986.826,8433.45
989.476,8538.0
992.126,8524.45
994.774,8571.35
997.422,8527.9
1000.07,8404.8
1002.72,8454.75
1005.36,8385.65
1008.01,8403.65
1010.65,8436.05
1013.29,8500.15
1015.93,8509.95
1018.58,8424.6
1021.22,8496.15
1023.86,8516.95
1026.49,8401.8
1029.13,8395.85
1031.77,8432.65
1034.4,8483.35
1037.04,8456.85
1039.67,8605.65
1042.31,8546.65
1044.94,8583.45
1047.57,8544.5
1050.2,8538.55
1052.83,8572.4
1055.46,8544.1
1058.09,8487.05
1060.72,8491.3
1063.35,8619.1
1065.97,8771.4
1068.6,8770.55
1071.22,8728.95
1073.85,8772.75
1076.47,8845.65
1079.09,8830.55
1081.71,8795.65
1084.33,8904.65
1086.95,8934.3
1089.57,8900.05
1092.19,8913.25
1094.81,9088.45
1097.42,9173.5
1100.04,9129.1
1102.65,9076.9
1105.27,9083.3
1107.88,9117.3
1110.49,9105.05
1113.1,9122.2
1115.71,9189.8
1118.32,9393.75
1120.93,9309.5
1123.54,9194.5
1126.15,9024.15
1128.75,8987.55
1131.36,8962.55
1133.97,9026.35
1136.57,8951.0
1139.17,8987.0
1141.77,9049.95
1144.38,9048.3
1146.98,9004.75
1149.58,9036.1
1152.18,9051.95
1154.77,9078.95
1157.37,9081.5
1159.97,9119.1
1162.56,9055.1
1165.16,9029.85
1167.75,9078.9
1170.35,9247.3
1172.94,9315.05
1175.53,9123.6
1178.12,9115.45
1180.71,9202.55
1183.3,9212.8
1185.89,9264.6
1188.48,9198.75
1191.06,9185.75
1193.65,9376.8
1196.23,9369.45
1198.82,9402.15
1201.4,9433.75
1203.99,9297.7
1206.57,9266.95
1209.15,9238.45
1211.73,9276.5
1214.31,9450.6
1216.89,9411.1
1219.46,9383.65
1222.04,9359.55
1224.62,9409.55
1227.19,9397.65
1229.77,9371.55
1232.34,9349.0
1234.92,9403.3
1237.49,9520.85
1240.06,9586.6
1242.63,9558.45
1245.2,9312.5
1247.77,9281.5
1250.34,9449.55
1252.9,9606.3
1255.47,9641.45
1258.04,9633.65
1260.6,9690.5
1263.17,9595.7
1265.73,9704.15
1268.29,9787.05
1270.85,9769.95
1273.41,9849.2
1275.97,10002.0
1278.53,10193.2
1281.09,10349.3
1283.65,10334.7
1286.21,10172.8
1288.76,10260.7
1291.32,10563.8
1293.87,10656.7
1296.43,10469.0
1298.98,10356.4
1301.53,10161.2
1304.08,10028.3
1306.63,9992.35
1309.18,9920.1
1311.73,9990.3
1314.28,10022.1
1316.83,9957.7
1319.38,9947.95
1321.92,9991.1
1324.47,9996.45
1327.01,9959.2
1329.55,9995.7
1332.1,9853.6
1334.64,9794.2
1337.18,9812.5
1339.72,9837.55
1342.26,9909.65
1344.8,9929.75
1347.34,9830.9
1349.87,9931.55
1352.41,9806.05
1354.95,9710.6
1357.48,9956.05
1360.01,10123.0
1362.55,9990.6
1365.08,9981.4
1367.61,9786.3
1370.14,9827.45
1372.67,9896.8
1375.2,9929.2
1377.73,9964.25
1380.26,9841.0
1382.78,9788.45
1385.31,9922.0
1387.84,10033.9
1390.36,10004.5
1392.88,9827.05
1395.41,9965.7
1397.93,10128.3
1400.45,10140.8
1402.97,10230.8
1405.49,10273.9
1408.01,10028.8
1410.53,10067.0
1413.05,10218.8
1415.56,10155.8
1418.08,10183.1
1420.59,10260.7
1423.11,10171.0
1425.62,10259.8
1428.14,10459.4
1430.65,10259.3
1433.16,10199.6
1435.67,10245.4
1438.18,10250.5
1440.69,10259.2
1443.2,10468.7
1445.7,10504.3
1448.21,10312.4
1450.72,10210.7
1453.22,10091.2
1455.72,10307.5
1458.23,10395.8
1460.73,10353.8
1463.23,10139.4
1465.73,10254.7
1468.23,10383.5
1470.73,10514.4
1473.23,10556.3
1475.73,10421.8
1478.23,10313.5
1480.72,10345.9
1483.22,10282.5
1485.72,10240.6
1488.21,10391.5
1490.7,10448.6
1493.2,10226.6
1495.69,10136.7
1498.18,10231.5
1500.67,10362.3
1503.16,10423.3
1505.65,10413.0
1508.14,10288.8
1510.62,10317.2
1513.11,10513.3
1515.59,10345.0
1518.08,10261.2
1520.56,10396.0
1523.05,10406.2
1525.53,10249.0
1528.01,10309.2
1530.49,10546.0
1532.97,10728.5
1535.45,10781.5
1537.93,10599.3
1540.41,10454.3
1542.89,10469.3
1545.36,10442.2
1547.84,10466.1
1550.31,10544.1
1552.79,10622.0
1555.26,10630.3
1557.73,10629.8
1560.21,10615.5
1562.68,10609.2
1565.15,10550.5
1567.62,10572.7
1570.09,10570.3
1572.56,10581.7
1575.02,10502.8
1577.49,10806.8
1579.95,10931.9
1582.42,10715.7
1584.88,10725.1
1587.35,10825.2
1589.81,10831.3
1592.27,10852.6
1594.73,10762.0
1597.19,10884.0
1599.65,11184.8
1602.11,11483.5
1604.57,11896.3
1607.03,12501.0
1609.49,12997.0
1611.94,13372.3
1614.4,13600.9
1616.85,13362.6
1619.31,12758.5
1621.76,11950.0
1624.21,11343.2
1626.66,10991.7
1629.11,10962.5
1631.56,10899.0
1634.01,10938.5
1636.46,10908.5
1638.91,10796.5
1641.36,10830.0
1643.8,10798.3
1646.25,10926.8
1648.69,11068.4
1651.14,10878.1
1653.58,10784.8
1656.02,10701.0
1658.46,10775.9
1660.9,10873.3
1663.35,10877.0
1665.78,10943.7
1668.22,10900.6
1670.66,10901.3
1673.1,10929.3
1675.54,10936.8
1677.97,11022.9
1680.41,10895.4
1682.84,10803.5
1685.27,10856.2
1687.71,10852.9
1690.14,10924.6
1692.57,10879.5
1695.0,10822.5
1697.43,11000.6
1699.86,11135.8
1702.29,11123.0
1704.71,11113.6
1707.14,11214.5
1709.57,11035.8
1711.99,11225.5
1714.42,11558.8
1716.84,11701.2
1719.26,11921.0
1721.69,12190.5
1724.11,12567.5
1726.53,12812.2
1728.95,12594.5
1731.37,12358.1
1733.79,12219.7
1736.21,11983.7
1738.62,11657.7
1741.04,11763.3
1743.46,11653.0
1745.87,11304.6
1748.28,11283.8
1750.7,11379.2
1753.11,11178.5
1755.52,11023.2
1757.93,11174.8
1760.34,11119.6
1762.75,11104.2
1765.16,11259.9
1767.57,11118.9
1769.98,10915.5
1772.39,10897.9
1774.79,11016.1
1777.2,11243.3
1779.6,11420.1
1782.01,11362.6
1784.41,11211.8
1786.81,11166.8
1789.21,11296.5
1791.62,11254.0
1794.02,11039.7
1796.41,10947.4
1798.81,11197.8
1801.21,11202.2
1803.61,11073.7
1806.01,11024.5
1808.4,11027.8
1810.8,11194.2
1813.19,11264.0
1815.59,11473.6
1817.98,11337.3
1820.37,11112.6
1822.76,11071.5
1825.15,11008.5
1827.54,11026.7
1829.93,11247.0
1832.32,11200.5
1834.71,11207.7
1837.1,11214.3
1839.48,11132.6
1841.87,11016.8
1844.25,10846.2
1846.64,11076.0
1849.02,11140.7
1851.4,11083.8
1853.79,11359.7
1856.17,11249.8
1858.55,10945.9
1860.93,10986.8
1863.31,11270.6
1865.69,11281.7
1868.06,11155.2
1870.44,11140.3
1872.82,11352.0
1875.19,11340.0
1877.57,11517.8
1879.94,11526.5
1882.31,11305.2
1884.69,11268.9
1887.06,11278.7
1889.43,11253.0
1891.8,11202.2
1894.17,11226.1
1896.54,11268.5
1898.91,11475.0
1901.28,11439.0
1903.64,11337.9
1906.01,11222.8
1908.38,11253.3
1910.74,11336.4
1913.1,11468.2
1915.47,11457.2
1917.83,11474.5
1920.19,11354.3
1922.55,11238.7
1924.91,11260.5
1927.27,11441.2
1929.63,11468.7
1931.99,11540.0
1934.35,11385.9
1936.71,11299.0
1939.06,11329.2
1941.42,11233.3
1943.77,11183.7
1946.13,11415.0
1948.48,11468.7
1950.83,11486.3
1953.19,11658.7
1955.54,11464.3
1957.89,11325.7
1960.24,11295.2
1962.59,11309.8
1964.93,11330.8
1967.28,11489.8
1969.63,11423.3
1971.98,11433.5
1974.32,11468.9
1976.67,11546.3
1979.01,11459.5
1981.35,11419.7
1983.7,11303.8
1986.04,11416.5
1988.38,11714.0
1990.72,11642.3
1993.06,11621.3
1995.4,11632.7
1997.74,11493.5
2000.08,11385.6
2002.41,11470.8
2004.75,11561.2
2007.09,11545.5
2009.42,11616.8
2011.75,11755.5
2014.09,11897.5
2016.42,11770.3
2018.75,11717.8
2021.08,11594.0
2023.42,11545.3
2025.75,11586.2
2028.08,11767.2
2030.4,11833.2
2032.73,11798.8
2035.06,11801.7
2037.39,11721.7
2039.71,11739.4
2042.04,11669.8
2044.36,11652.3
2046.69,11766.0
2049.01,11727.5
2051.33,11589.7
2053.65,11573.7
2055.97,11579.0
2058.29,11745.0
2060.61,11731.0
2062.93,11699.0
2065.25,11723.6
2067.57,11854.2
2069.88,11857.6
2072.2,11868.1
2074.52,11884.7
2076.83,11763.2
2079.15,11783.7
2081.46,11800.6
2083.77,11712.7
2086.08,11627.3
2088.39,11661.9
2090.7,11823.0
2093.01,11950.7
2095.32,11922.5
2097.63,11835.3
2099.94,11684.7
2102.25,11696.5
2104.55,11836.5
2106.86,12147.2
2109.16,12154.3
2111.47,12120.7
2113.77,12087.0
2116.08,11880.6
2118.38,11837.5
2120.68,11931.7
2122.98,11896.8
2125.28,11959.7
2127.58,11848.2
2129.88,11916.0
2132.18,12028.5
2134.47,12109.0
2136.77,12022.3
2139.07,12015.0
2141.36,12039.7
2143.66,11918.5
2145.95,11929.0
2148.24,12249.5
2150.54,12332.5
2152.83,12194.7
2155.12,12024.1
2157.41,12049.7
2159.7,11902.3
2161.99,11966.9
2164.28,12099.3
2166.57,12155.8
2168.85,12198.8
2171.14,12281.3
2173.43,12132.5
2175.71,12111.1
2178.0,11996.8
2180.28,12013.5
2182.56,12199.4
2184.84,12215.5
2187.13,12176.9
2189.41,12087.4
2191.69,12047.5
2193.97,12063.2
2196.25,12187.8
2198.52,12311.2
2200.8,12496.5
2203.08,12281.1
2205.36,12167.3
2207.63,12211.4
2209.91,12206.2
2212.18,12383.5
2214.45,12501.1
2216.73,12386.5
2219.0,12209.0
2221.27,12101.8
2223.54,12256.5
2225.81,12265.2
2228.08,12263.6
2230.35,12359.8
2232.62,12226.0
2234.89,12294.3
2237.15,12271.8
2239.42,12363.6
2241.68,12656.5
2243.95,12570.8
2246.21,12217.0
2248.48,12024.5
2250.74,12132.2
2253.0,12427.0
2255.26,12576.8
2257.52,12446.0
2259.78,12223.7
2262.04,12346.9
2264.3,12498.7
2266.56,12342.3
2268.82,12494.8
2271.07,12496.0
2273.33,12534.7
2275.58,12639.8
2277.84,12579.5
2280.09,12442.6
2282.35,12424.8
2284.6,12487.8
2286.85,12476.8
2289.1,12638.0
2291.35,12557.5
2293.6,12376.0
2295.85,12470.8
2298.1,12457.8
2300.35,12518.0
2302.6,12518.1
2304.84,12571.5
2307.09,12556.6
2309.33,12679.5
2311.58,12921.8
2313.82,12830.2
2316.07,12577.2
2318.31,12657.5
2320.55,12838.0
2322.79,12845.6
2325.03,12697.8
2327.27,12461.8
2329.51,12539.3
2331.75,12758.0
2333.99,12841.5
2336.23,12753.3
2338.46,12649.5
2340.7,12706.0
2342.93,12777.0
2345.17,12929.8
2347.4,12843.5
2349.64,13043.5
2351.87,13078.7
2354.1,12808.2
2356.33,12594.3
2358.56,12921.3
2360.79,13049.5
2363.02,12960.0
2365.25,12877.0
2367.48,12790.0
2369.71,12754.8
2371.93,13108.5
2374.16,13115.1
2376.38,12773.5
2378.61,12746.0
2380.83,13119.3
2383.06,13049.0
2385.28,13057.9
2387.5,12983.3
2389.72,13016.8
2391.94,13131.8
2394.16,13277.0
2396.38,13389.5
2398.6,13117.8
2400.82,13142.8
2403.04,13359.3
2405.26,13211.7
2407.47,13049.4
2409.69,13006.5
2411.9,13185.1
2414.12,13417.0
2416.33,13291.7
2418.54,13390.7
2420.76,13268.9
2422.97,13105.7
2425.18,13304.4
2427.39,13434.3
2429.6,13448.3
2431.81,13346.0
2434.02,13467.3
2436.22,13610.8
2438.43,13437.0
2440.64,13113.3
2442.84,13220.8
2445.05,13420.2
2447.25,13497.8
2449.46,13512.0
2451.66,13630.8
2453.86,13518.4
2456.06,13274.5
2458.27,13255.1
2460.47,13539.0
2462.67,13600.5
2464.87,13458.1
2467.06,13456.6
2469.26,13528.7
2471.46,13675.2
2473.66,13644.7
2475.85,13693.9
2478.05,13661.3
2480.24,13497.0
2482.44,13497.4
2484.63,13470.2
2486.82,13370.7
2489.02,13580.8
2491.21,13899.8
2493.4,13983.3
2495.59,13743.5
2497.78,13737.0
2499.97,13860.5
2502.16,13944.7
2504.34,13731.5
2506.53,13753.0
2508.72,13937.8
2510.9,13803.9
2513.09,13864.6
2515.27,13981.6
2517.46,14136.7
2519.64,13958.3
2521.82,13858.5
2524.0,13813.3
2526.19,13942.9
2528.37,14166.0
2530.55,14339.6
2532.73,14245.5
2534.9,14238.3
2537.08,13960.4
2539.26,13953.2
2541.44,14175.9
2543.61,14148.8
2545.79,14056.3
2547.96,14171.3
2550.14,14198.9
2552.31,14210.7
2554.48,14041.7
2556.66,14277.5
2558.83,14421.5
2561.0,14436.4
2563.17,14497.2
2565.34,14438.1
2567.51,14241.5
2569.68,14005.5
2571.85,14104.8
2574.01,14443.8
2576.18,14590.7
2578.35,14303.7
2580.51,14122.4
2582.68,14295.9
2584.84,14596.8
2587.0,14651.3
2589.17,14638.6
2591.33,14526.6
2593.49,14443.6
2595.65,14396.5
2597.81,14412.8
2599.97,14620.5
2602.13,14606.0
2604.29,14455.0
2606.45,14566.9
2608.6,14860.3
2610.76,14754.8
2612.92,14641.8
2615.07,14815.0
2617.23,14901.5
2619.38,14774.5
2621.53,14643.2
2623.69,14545.8
2625.84,14735.3
2627.99,14835.0
2630.14,14791.8
2632.29,14958.8
2634.44,15057.0
