cm-1,Intensity
853.225,2934.8
855.918,2928.5
858.61,2963.9
861.302,3027.1
863.992,3075.05
866.681,3098.65
869.37,3142.45
872.058,3169.45
874.745,3153.65
877.431,3120.5
880.116,3076.7
882.8,3037.15
885.484,3024.8
888.166,2989.6
890.848,2978.1
893.529,2953.35
896.209,2939.25
898.888,2959.95
901.566,2957.15
904.244,2964.8
906.921,2958.8
909.596,2952.2
912.271,2967.9
914.945,2981.2
917.619,2964.9
920.291,2961.95
922.963,2965.55
925.633,2972.25
928.303,2970.55
930.972,2952.55
933.64,2928.6
936.308,2959.75
938.974,2967.85
941.64,2971.2
944.304,2972.65
946.968,2971.1
949.631,2959.85
952.294,2952.6
954.955,2990.75
957.615,2980.35
960.275,2982.8
962.934,2978.75
965.592,2985.9
968.249,2997.15
970.905,2961.05
973.561,2961.8
976.215,2975.75
978.869,2968.2
981.522,2976.9
984.174,2993.85
986.826,3005.25
989.476,3002.35
992.126,2994.95
994.774,3000.4
997.422,3000.25
1000.07,3000.1
1002.72,3001.2
1005.36,3027.95
1008.01,3037.2
1010.65,3013.8
1013.29,3004.45
1015.93,3005.65
1018.58,3023.45
1021.22,3028.6
1023.86,3033.4
1026.49,3059.1
1029.13,3045.5
1031.77,3054.95
1034.4,3076.9
1037.04,3070.0
1039.67,3097.85
1042.31,3105.7
1044.94,3114.55
1047.57,3117.3
1050.2,3107.75
1052.83,3083.65
1055.46,3061.95
1058.09,3069.1
1060.72,3061.1
1063.35,3082.15
1065.97,3071.2
1068.6,3082.35
1071.22,3048.65
1073.85,3056.4
1076.47,3052.05
1079.09,3080.8
1081.71,3081.75
1084.33,3087.55
1086.95,3110.55
1089.57,3136.5
1092.19,3119.2
1094.81,3153.1
1097.42,3146.0
1100.04,3118.7
1102.65,3115.65
1105.27,3124.15
1107.88,3158.85
1110.49,3157.3
1113.1,3160.8
1115.71,3160.45
1118.32,3180.45
1120.93,3192.55
1123.54,3194.8
1126.15,3200.15
1128.75,3187.25
1131.36,3192.3
1133.97,3181.45
1136.57,3172.05
1139.17,3161.15
1141.77,3135.45
1144.38,3155.2
1146.98,3119.4
1149.58,3118.7
1152.18,3114.3
1154.77,3110.75
1157.37,3119.45
1159.97,3134.6
1162.56,3089.7
1165.16,3114.95
1167.75,3117.6
1170.35,3105.3
1172.94,3126.65
1175.53,3143.55
1178.12,3141.95
1180.71,3135.4
1183.3,3134.85
1185.89,3159.55
1188.48,3162.35
1191.06,3176.85
1193.65,3142.9
1196.23,3138.75
1198.82,3174.8
1201.4,3183.35
1203.99,3173.85
1206.57,3144.4
1209.15,3153.5
1211.73,3168.85
1214.31,3182.1
1216.89,3185.85
1219.46,3189.35
1222.04,3199.1
1224.62,3188.95
1227.19,3149.9
1229.77,3142.35
1232.34,3162.45
1234.92,3191.45
1237.49,3198.0
1240.06,3190.15
1242.63,3187.3
1245.2,3181.3
1247.77,3195.2
1250.34,3222.15
1252.9,3203.95
1255.47,3220.7
1258.04,3210.5
1260.6,3194.05
1263.17,3174.2
1265.73,3202.8
1268.29,3218.65
1270.85,3219.25
1273.41,3195.05
1275.97,3197.7
1278.53,3185.8
1281.09,3177.85
1283.65,3188.05
1286.21,3223.65
1288.76,3246.85
1291.32,3269.8
1293.87,3272.0
1296.43,3280.3
1298.98,3278.45
1301.53,3256.8
1304.08,3290.4
1306.63,3302.7
1309.18,3293.05
1311.73,3269.1
1314.28,3259.7
1316.83,3275.3
1319.38,3265.35
1321.92,3243.0
1324.47,3272.4
1327.01,3259.95
1329.55,3297.8
1332.1,3304.35
1334.64,3297.2
1337.18,3264.25
1339.72,3270.8
1342.26,3267.05
1344.8,3270.65
1347.34,3288.8
1349.87,3282.4
1352.41,3285.5
1354.95,3257.6
1357.48,3276.95
1360.01,3264.5
1362.55,3286.0
1365.08,3274.25
1367.61,3260.85
1370.14,3259.1
1372.67,3268.95
1375.2,3235.75
1377.73,3267.55
1380.26,3285.65
1382.78,3292.1
1385.31,3293.3
1387.84,3301.5
1390.36,3300.45
1392.88,3274.95
1395.41,3270.3
1397.93,3262.15
1400.45,3257.5
1402.97,3284.3
1405.49,3267.05
1408.01,3288.4
1410.53,3274.2
1413.05,3274.85
1415.56,3266.75
1418.08,3242.55
1420.59,3241.65
1423.11,3261.25
1425.62,3278.8
1428.14,3286.75
1430.65,3291.45
1433.16,3289.5
1435.67,3276.15
1438.18,3298.25
1440.69,3366.8
1443.2,3388.55
1445.7,3414.8
1448.21,3442.1
1450.72,3443.05
1453.22,3455.1
1455.72,3431.85
1458.23,3410.2
1460.73,3400.05
1463.23,3386.7
1465.73,3342.9
1468.23,3359.8
1470.73,3357.65
1473.23,3319.75
1475.73,3316.65
1478.23,3295.2
1480.72,3287.95
1483.22,3292.6
1485.72,3297.05
1488.21,3278.35
1490.7,3262.85
1493.2,3250.55
1495.69,3245.85
1498.18,3249.95
1500.67,3260.3
1503.16,3246.55
1505.65,3267.6
1508.14,3244.15
1510.62,3269.15
1513.11,3266.15
1515.59,3284.25
1518.08,3280.9
1520.56,3294.85
1523.05,3290.7
1525.53,3278.9
1528.01,3265.8
1530.49,3249.55
1532.97,3283.6
1535.45,3276.35
1537.93,3251.05
1540.41,3266.65
1542.89,3284.35
1545.36,3298.1
1547.84,3278.35
1550.31,3271.85
1552.79,3283.35
1555.26,3283.5
1557.73,3290.55
1560.21,3283.75
1562.68,3312.35
1565.15,3305.9
1567.62,3286.8
1570.09,3302.6
1572.56,3292.0
1575.02,3303.1
1577.49,3288.85
1579.95,3289.1
1582.42,3290.75
1584.88,3311.0
1587.35,3287.15
1589.81,3285.65
1592.27,3295.85
1594.73,3314.45
1597.19,3306.3
1599.65,3303.45
1602.11,3291.25
1604.57,3300.8
1607.03,3278.6
1609.49,3274.0
1611.94,3277.3
1614.4,3303.4
1616.85,3294.1
1619.31,3306.5
1621.76,3294.7
1624.21,3272.95
1626.66,3284.3
1629.11,3316.05
1631.56,3319.5
1634.01,3313.35
1636.46,3291.5
1638.91,3268.9
1641.36,3250.55
1643.8,3272.75
1646.25,3293.3
1648.69,3304.6
1651.14,3277.1
1653.58,3282.65
1656.02,3312.0
1658.46,3305.75
1660.9,3311.3
1663.35,3352.85
1665.78,3345.55
1668.22,3325.6
1670.66,3324.7
1673.1,3314.2
1675.54,3309.6
1677.97,3282.2
1680.41,3286.35
1682.84,3292.75
1685.27,3291.25
1687.71,3294.55
1690.14,3289.05
1692.57,3306.25
1695.0,3308.8
1697.43,3277.1
1699.86,3283.05
1702.29,3277.5
1704.71,3278.95
1707.14,3266.45
1709.57,3257.1
1711.99,3290.45
1714.42,3315.25
1716.84,3279.15
1719.26,3256.6
