cm-1,A
4000.0,0.06747550294945781
3999.0,0.06742477650170953
3998.0,0.06737405597821788
3997.0,0.06732334137759932
3996.0,0.06727263269847072
3995.0,0.06727263269847072
3994.0,0.06737405597821788
3993.0,0.06752623532284674
3992.0,0.06767846801070698
3991.0,0.06772922410050963
3990.0,0.0675769736232612
3989.0,0.06737405597821788
3988.0,0.0671712330991534
3987.0,0.06706985716921054
3986.0,0.06712054217620067
3985.0,0.0671712330991534
3984.0,0.06722192993944942
3983.0,0.06732334137759932
3982.0,0.06742477650170953
3981.0,0.06752623532284674
3980.0,0.0675769736232612
3979.0,0.0675769736232612
3978.0,0.06747550294945781
3977.0,0.06732334137759932
3976.0,0.06722192993944942
3975.0,0.06722192993944942
3974.0,0.06722192993944942
3973.0,0.06722192993944942
3972.0,0.06727263269847072
3971.0,0.06737405597821788
3970.0,0.0675769736232612
3969.0,0.06772922410050963
3968.0,0.06788152797087754
3967.0,0.06793230779927839
3966.0,0.06793230779927839
3965.0,0.0678307540792078
3964.0,0.06777998612288094
3963.0,0.06777998612288094
3962.0,0.06788152797087754
3961.0,0.06798309356579857
3960.0,0.06813548650796819
3959.0,0.0681862960408608
3958.0,0.06813548650796819
3957.0,0.0680846829187538
3956.0,0.06793230779927839
3955.0,0.06777998612288094
3954.0,0.06767846801070698
3953.0,0.0675769736232612
3952.0,0.06752623532284674
3951.0,0.0675769736232612
3950.0,0.06772922410050963
3949.0,0.06798309356579857
3948.0,0.0681862960408608
3947.0,0.0681862960408608
3946.0,0.0680846829187538
3945.0,0.06803388527182741
3944.0,0.06813548650796819
3943.0,0.06833876031551878
3942.0,0.068389593637038
3941.0,0.06828793294324442
3940.0,0.0681862960408608
3939.0,0.06823711151882228
3938.0,0.06844043290919477
3937.0,0.06844043290919477
3936.0,0.0681862960408608
3935.0,0.06798309356579857
3934.0,0.06793230779927839
3933.0,0.06803388527182741
3932.0,0.06823711151882228
3931.0,0.06844043290919477
3930.0,0.06844043290919477
3929.0,0.06823711151882228
3928.0,0.06793230779927839
3927.0,0.06772922410050963
3926.0,0.06777998612288094
3925.0,0.06793230779927839
3924.0,0.06803388527182741
3923.0,0.06798309356579857
3922.0,0.06798309356579857
3921.0,0.0680846829187538
3920.0,0.06813548650796819
3919.0,0.06803388527182741
3918.0,0.06793230779927839
3917.0,0.06803388527182741
3916.0,0.06813548650796819
3915.0,0.06813548650796819
3914.0,0.0681862960408608
3913.0,0.06844043290919477
3912.0,0.06864384953207203
3911.0,0.06869471857832687
3910.0,0.0685421293109949
3909.0,0.06823711151882228
3908.0,0.06788152797087754
3907.0,0.06747550294945781
3906.0,0.0671712330991534
3905.0,0.06706985716921054
3904.0,0.06696850489759454
3903.0,0.06671522765130522
3902.0,0.06646209802829528
3901.0,0.0666645899223488
3900.0,0.06737405597821788
3899.0,0.06813548650796819
3898.0,0.0685421293109949
3897.0,0.06859298644342648
3896.0,0.06864384953207203
3895.0,0.06859298644342648
3894.0,0.06833876031551878
3893.0,0.06813548650796819
3892.0,0.06828793294324442
3891.0,0.06859298644342648
3890.0,0.068389593637038
3889.0,0.06777998612288094
3888.0,0.06793230779927839
3887.0,0.0688982543673613
3886.0,0.06976434723371505
3885.0,0.06966236426227002
3884.0,0.06864384953207203
3883.0,0.0676277178520861
3882.0,0.06742477650170953
